ID tij Gender Environment Result Date Season age dop RegionCEU RegionCHN RegionEEU RegionNAM RegionRUS season_number
1 0.340494408475574 0 1 16.54 39571 2008 25.1013698630137 0 0 0 0 1 0 6
1 0.343584461447911 0 1 18.13 39592 2008 25.158904109589 0 0 0 0 1 0 6
1 0.345350206003532 0 1 17.90 39604 2008 25.1917808219178 0 0 0 0 1 0 6
1 0.345497351383167 0 1 17.60 39605 2008 25.1945205479452 0 0 0 0 1 0 6
1 0.349470276633314 0 1 17.21 39632 2008 25.2684931506849 0 0 0 0 1 0 6
1 0.349764567392584 0 1 17.41 39634 2008 25.2739726027397 0 0 0 0 1 0 6
1 0.380665097115951 0 0 15.51 39844 2009 25.8493150684932 0 0 0 0 1 0 7
1 0.384785167745733 0 0 16.47 39872 2009 25.9260273972603 0 0 0 0 1 0 7
1 0.389935256032961 0 1 16.46 39907 2009 26.0219178082192 0 0 0 0 1 0 7
1 0.393025309005297 0 1 16.30 39928 2009 26.0794520547945 0 0 0 0 1 0 7
1 0.396851088875809 0 1 16.87 39954 2009 26.1506849315068 0 0 0 0 1 0 7
1 0.397145379635079 0 1 16.66 39956 2009 26.1561643835616 0 0 0 0 1 0 7
1 0.398175397292525 0 1 16.72 39963 2009 26.1753424657534 0 0 0 0 1 0 7
1 0.432165979988228 0 0 16.50 40194 2010 26.8082191780822 0 0 0 0 1 0 8
1 0.434226015303119 0 0 16.65 40208 2010 26.8465753424658 0 0 0 0 1 0 8
1 0.436286050618011 0 0 16.01 40222 2010 26.8849315068493 0 0 0 0 1 0 8
1 0.438493231312537 0 0 16.41 40237 2010 26.9260273972603 0 0 0 0 1 0 8
1 0.450412007062978 0 1 16.81 40318 2010 27.1479452054795 0 0 0 0 1 0 8
1 0.450706297822248 0 1 17.04 40320 2010 27.1534246575342 0 0 0 0 1 0 8
1 0.455856386109476 0 1 16.59 40355 2010 27.2493150684931 0 0 0 0 1 0 8
1 0.500147145379635 0 1 16.32 40656 2011 28.0739726027397 0 0 0 0 1 0 9
1 0.503972925250147 0 1 16.16 40682 2011 28.1452054794521 0 0 0 0 1 0 9
1 0.504267216009417 0 1 16.49 40684 2011 28.1506849315068 0 0 0 0 1 0 9
1 0.509123013537375 0 1 16.35 40717 2011 28.241095890411 0 0 0 0 1 0 9
1 0.539140670982931 0 0 16.91 40921 2012 28.8 0 0 0 0 1 0 10
1 0.541347851677457 0 0 16.52 40936 2012 28.841095890411 0 0 0 0 1 0 10
2 0.0216303708063567 0 1 15.11 36673 2000 20.0219178082192 0 0 0 0 1 0 0
2 0.0504708652148323 0 0 15.16 36869 2000 20.558904109589 0 0 0 0 1 0 0
2 0.0607710417892878 0 0 15.64 36939 2001 20.7506849315069 0 0 0 0 1 0 1
2 0.0659211300765156 0 1 14.86 36974 2001 20.8465753424658 0 0 0 0 1 0 1
2 0.0690111830488523 0 1 15.70 36995 2001 20.9041095890411 0 0 0 0 1 0 1
2 0.104031783402001 0 0 15.12 37233 2001 21.5561643835616 0 0 0 0 1 0 1
2 0.11124190700412 0 0 15.24 37282 2002 21.6904109589041 0 0 0 0 1 0 2
2 0.112124779281931 0 0 15.60 37288 2002 21.7068493150685 0 0 0 0 1 0 2
2 0.113301942319011 0 0 16.04 37296 2002 21.7287671232877 0 0 0 0 1 0 2
2 0.114331959976457 0 0 15.91 37303 2002 21.7479452054795 0 0 0 0 1 0 2
2 0.117422012948793 0 0 15.63 37324 2002 21.8054794520548 0 0 0 0 1 0 2
2 0.12051206592113 0 1 16.31 37345 2002 21.8630136986301 0 0 0 0 1 0 2
2 0.121542083578576 0 1 15.36 37352 2002 21.8821917808219 0 0 0 0 1 0 2
2 0.122572101236021 0 1 17.18 37359 2002 21.9013698630137 0 0 0 0 1 0 2
2 0.124484991171277 0 1 16.98 37372 2002 21.9369863013699 0 0 0 0 1 0 2
2 0.125809299587993 0 1 16.46 37381 2002 21.9616438356164 0 0 0 0 1 0 2
2 0.126692171865803 0 1 15.22 37387 2002 21.9780821917808 0 0 0 0 1 0 2
2 0.128752207180695 0 1 17.03 37401 2002 22.0164383561644 0 0 0 0 1 0 2
2 0.132725132430842 0 1 16.22 37428 2002 22.0904109589041 0 0 0 0 1 0 2
2 0.140082401412596 0 1 16.24 37478 2002 22.227397260274 0 0 0 0 1 0 2
2 0.15759270158917 0 0 17.59 37597 2002 22.5534246575342 0 0 0 0 1 0 2
2 0.163625662154208 0 0 16.58 37638 2003 22.6657534246575 0 0 0 0 1 0 3
2 0.165832842848735 0 0 17.37 37653 2003 22.7068493150685 0 0 0 0 1 0 3
2 0.16686286050618 0 0 17.92 37660 2003 22.7260273972603 0 0 0 0 1 0 3
2 0.172012948793408 0 0 17.57 37695 2003 22.8219178082192 0 0 0 0 1 0 3
2 0.174072984108299 0 1 17.51 37709 2003 22.8602739726027 0 0 0 0 1 0 3
2 0.17613301942319 0 1 17.47 37723 2003 22.8986301369863 0 0 0 0 1 0 3
2 0.177163037080636 0 1 17.00 37730 2003 22.9178082191781 0 0 0 0 1 0 3
2 0.177898763978811 0 1 17.97 37735 2003 22.9315068493151 0 0 0 0 1 0 3
2 0.179223072395527 0 1 16.46 37744 2003 22.9561643835616 0 0 0 0 1 0 3
2 0.181135962330783 0 1 17.99 37757 2003 22.9917808219178 0 0 0 0 1 0 3
2 0.182165979988228 0 1 17.54 37764 2003 23.0109589041096 0 0 0 0 1 0 3
2 0.186286050618011 0 1 17.47 37792 2003 23.0876712328767 0 0 0 0 1 0 3
2 0.189523248969982 0 1 16.84 37814 2003 23.1479452054795 0 0 0 0 1 0 3
2 0.229693937610359 0 1 15.65 38087 2004 23.8958904109589 0 0 0 0 1 0 4
2 0.232783990582696 0 1 16.19 38108 2004 23.9534246575342 0 0 0 0 1 0 4
2 0.234696880517952 0 1 16.50 38121 2004 23.9890410958904 0 0 0 0 1 0 4
2 0.235874043555032 0 1 16.63 38129 2004 24.0109589041096 0 0 0 0 1 0 4
2 0.239994114184815 0 1 16.03 38157 2004 24.0876712328767 0 0 0 0 1 0 4
2 0.243819894055327 0 1 16.11 38183 2004 24.158904109589 0 0 0 0 1 0 4
2 0.243967039434962 0 1 16.52 38184 2004 24.1616438356164 0 0 0 0 1 0 4
2 0.281194820482637 0 1 18.29 38437 2005 24.8547945205479 0 0 0 0 1 0 5
2 0.284137728075338 0 1 17.36 38457 2005 24.9095890410959 0 0 0 0 1 0 5
2 0.284432018834609 0 1 16.82 38459 2005 24.9150684931507 0 0 0 0 1 0 5
2 0.28619776339023 0 1 17.02 38471 2005 24.9479452054795 0 0 0 0 1 0 5
2 0.28737492642731 0 1 16.87 38479 2005 24.9698630136986 0 0 0 0 1 0 5
2 0.289287816362566 0 1 17.12 38492 2005 25.0054794520548 0 0 0 0 1 0 5
2 0.294437904649794 0 1 17.30 38527 2005 25.1013698630137 0 0 0 0 1 0 5
2 0.297675103001766 0 1 17.01 38549 2005 25.1616438356164 0 0 0 0 1 0 5
2 0.319305473808122 0 0 16.38 38696 2005 25.5643835616438 0 0 0 0 1 0 5
2 0.32474985285462 0 0 16.04 38733 2006 25.6657534246575 0 0 0 0 1 0 6
2 0.327545615067687 0 0 14.84 38752 2006 25.7178082191781 0 0 0 0 1 0 6
2 0.328428487345497 0 0 15.71 38758 2006 25.7342465753425 0 0 0 0 1 0 6
2 0.337845791642142 0 1 15.34 38822 2006 25.9095890410959 0 0 0 0 1 0 6
2 0.338875809299588 0 1 15.46 38829 2006 25.9287671232877 0 0 0 0 1 0 6
2 0.340935844614479 0 1 17.05 38843 2006 25.9671232876712 0 0 0 0 1 0 6
2 0.34299587992937 0 1 17.00 38857 2006 26.0054794520548 0 0 0 0 1 0 6
2 0.346968805179517 0 1 17.61 38884 2006 26.0794520547945 0 0 0 0 1 0 6
2 0.348293113596233 0 1 17.31 38893 2006 26.1041095890411 0 0 0 0 1 0 6
2 0.349323131253679 0 1 17.23 38900 2006 26.1232876712329 0 0 0 0 1 0 6
2 0.353884638022366 0 1 16.62 38931 2006 26.2082191780822 0 0 0 0 1 0 6
2 0.353884638022366 0 1 16.03 38931 2006 26.2082191780822 0 0 0 0 1 0 6
2 0.379046497939965 0 0 15.34 39102 2007 26.6767123287671 0 0 0 0 1 0 7
2 0.381106533254856 0 0 15.91 39116 2007 26.7150684931507 0 0 0 0 1 0 7
2 0.383166568569747 0 0 16.62 39130 2007 26.7534246575342 0 0 0 0 1 0 7
2 0.388316656856975 0 1 15.83 39165 2007 26.8493150684932 0 0 0 0 1 0 7
2 0.390376692171866 0 1 16.52 39179 2007 26.8876712328767 0 0 0 0 1 0 7
2 0.391406709829311 0 1 16.98 39186 2007 26.9068493150685 0 0 0 0 1 0 7
2 0.392436727486757 0 1 16.68 39193 2007 26.9260273972603 0 0 0 0 1 0 7
2 0.394496762801648 0 1 16.78 39207 2007 26.9643835616438 0 0 0 0 1 0 7
2 0.396556798116539 0 1 17.09 39221 2007 27.0027397260274 0 0 0 0 1 0 7
2 0.39861683343143 0 1 16.78 39235 2007 27.041095890411 0 0 0 0 1 0 7
2 0.39861683343143 0 1 16.77 39235 2007 27.041095890411 0 0 0 0 1 0 7
2 0.401854031783402 0 1 16.78 39257 2007 27.1013698630137 0 0 0 0 1 0 7
2 0.432607416127134 0 0 16.17 39466 2008 27.6739726027397 0 0 0 0 1 0 8
2 0.434667451442025 0 0 16.44 39480 2008 27.7123287671233 0 0 0 0 1 0 8
2 0.43569746909947 0 0 15.69 39487 2008 27.7315068493151 0 0 0 0 1 0 8
2 0.442760447321954 0 1 16.98 39535 2008 27.8630136986301 0 0 0 0 1 0 8
2 0.443937610359035 0 1 16.08 39543 2008 27.8849315068493 0 0 0 0 1 0 8
2 0.44496762801648 0 1 17.20 39550 2008 27.9041095890411 0 0 0 0 1 0 8
2 0.446144791053561 0 1 16.69 39558 2008 27.9260273972603 0 0 0 0 1 0 8
2 0.448940553266627 0 1 16.95 39577 2008 27.9780821917808 0 0 0 0 1 0 8
2 0.451147733961154 0 1 16.97 39592 2008 28.0191780821918 0 0 0 0 1 0 8
2 0.457033549146557 0 1 17.00 39632 2008 28.1287671232877 0 0 0 0 1 0 8
2 0.457327839905827 0 1 16.50 39634 2008 28.1342465753425 0 0 0 0 1 0 8
2 0.486168334314303 0 0 16.06 39830 2009 28.6712328767123 0 0 0 0 1 0 9
2 0.488228369629194 0 0 16.12 39844 2009 28.7095890410959 0 0 0 0 1 0 9
2 0.496321365509123 0 1 16.86 39899 2009 28.8602739726027 0 0 0 0 1 0 9
2 0.498528546203649 0 1 16.44 39914 2009 28.9013698630137 0 0 0 0 1 0 9
2 0.50058858151854 0 1 16.42 39928 2009 28.9397260273973 0 0 0 0 1 0 9
2 0.501618599175986 0 1 16.77 39935 2009 28.958904109589 0 0 0 0 1 0 9
2 0.502648616833431 0 1 16.69 39942 2009 28.9780821917808 0 0 0 0 1 0 9
2 0.504414361389052 0 1 16.77 39954 2009 29.0109589041096 0 0 0 0 1 0 9
2 0.504708652148323 0 1 17.18 39956 2009 29.0164383561644 0 0 0 0 1 0 9
2 0.509711595055915 0 1 16.72 39990 2009 29.1095890410959 0 0 0 0 1 0 9
2 0.554149499705709 0 1 17.49 40292 2010 29.9369863013699 0 0 0 0 1 0 10
2 0.563419658622719 0 1 17.00 40355 2010 30.1095890410959 0 0 0 0 1 0 10
2 0.596233078281342 0 0 16.42 40578 2011 30.7205479452055 0 0 0 0 1 0 11
2 0.597263095938788 0 0 17.13 40585 2011 30.7397260273973 0 0 0 0 1 0 11
2 0.608740435550324 0 1 16.90 40663 2011 30.9534246575342 0 0 0 0 1 0 11
2 0.61065332548558 0 1 16.52 40676 2011 30.9890410958904 0 0 0 0 1 0 11
2 0.610800470865215 0 1 16.33 40677 2011 30.9917808219178 0 0 0 0 1 0 11
2 0.614479105356092 0 1 17.31 40702 2011 31.0602739726027 0 0 0 0 1 0 11
2 0.616686286050618 0 1 16.19 40717 2011 31.1013698630137 0 0 0 0 1 0 11
2 0.6489111241907 0 0 16.10 40936 2012 31.7013698630137 0 0 0 0 1 0 12
2 0.650971159505591 0 0 16.65 40950 2012 31.7397260273973 0 0 0 0 1 0 12
2 0.652001177163037 0 0 16.29 40957 2012 31.758904109589 0 0 0 0 1 0 12
2 0.659211300765156 0 1 16.39 41006 2012 31.8931506849315 0 0 0 0 1 0 12
2 0.660241318422601 0 1 16.34 41013 2012 31.9123287671233 0 0 0 0 1 0 12
2 0.662301353737493 0 1 16.54 41027 2012 31.9506849315068 0 0 0 0 1 0 12
2 0.663478516774573 0 1 16.64 41035 2012 31.972602739726 0 0 0 0 1 0 12
2 0.664214243672749 0 1 17.18 41040 2012 31.986301369863 0 0 0 0 1 0 12
2 0.668187168922896 0 1 16.15 41067 2012 32.0602739726027 0 0 0 0 1 0 12
2 0.668481459682166 0 1 16.89 41069 2012 32.0657534246575 0 0 0 0 1 0 12
2 0.671277221895233 0 1 16.74 41088 2012 32.1178082191781 0 0 0 0 1 0 12
2 0.671424367274868 0 1 16.42 41089 2012 32.1205479452055 0 0 0 0 1 0 12
3 0.00735726898175397 0 0 14.56 36576 2000 18.2767123287671 0 0 0 0 1 0 0
3 0.0142731018246027 0 1 14.60 36623 2000 18.4054794520548 0 0 0 0 1 0 0
3 0.164802825191289 0 0 15.02 37646 2003 21.2082191780822 0 0 0 0 1 0 3
3 0.167745732783991 0 0 14.88 37666 2003 21.2630136986301 0 0 0 0 1 0 3
3 0.170982931135962 0 0 15.89 37688 2003 21.3232876712329 0 0 0 0 1 0 3
3 0.173042966450853 0 1 15.08 37702 2003 21.3616438356164 0 0 0 0 1 0 3
3 0.174072984108299 0 1 15.23 37709 2003 21.3808219178082 0 0 0 0 1 0 3
3 0.175103001765745 0 1 15.83 37716 2003 21.4 0 0 0 0 1 0 3
3 0.17613301942319 0 1 15.88 37723 2003 21.4191780821918 0 0 0 0 1 0 3
3 0.177898763978811 0 1 14.45 37735 2003 21.4520547945205 0 0 0 0 1 0 3
3 0.179370217775162 0 1 15.36 37745 2003 21.4794520547945 0 0 0 0 1 0 3
3 0.183195997645674 0 1 15.26 37771 2003 21.5506849315069 0 0 0 0 1 0 3
3 0.217333725721012 0 0 15.62 38003 2004 22.186301369863 0 0 0 0 1 0 4
3 0.218216597998823 0 0 14.70 38009 2004 22.2027397260274 0 0 0 0 1 0 4
3 0.219540906415539 0 0 15.60 38018 2004 22.227397260274 0 0 0 0 1 0 4
3 0.22130665097116 0 0 14.52 38030 2004 22.2602739726027 0 0 0 0 1 0 4
3 0.222630959387875 0 0 15.49 38039 2004 22.2849315068493 0 0 0 0 1 0 4
3 0.224543849323131 0 0 14.82 38052 2004 22.3205479452055 0 0 0 0 1 0 4
3 0.227633902295468 0 1 14.69 38073 2004 22.3780821917808 0 0 0 0 1 0 4
3 0.229693937610359 0 1 14.51 38087 2004 22.4164383561644 0 0 0 0 1 0 4
3 0.230723955267805 0 1 15.04 38094 2004 22.4356164383562 0 0 0 0 1 0 4
3 0.232783990582696 0 1 14.67 38108 2004 22.4739726027397 0 0 0 0 1 0 4
